id,title,price,location,image_url,product_url
213,Chiot Husky pur sang,250000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4814513_uploaded_image1_1719531765.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-pur-sang-4814513
215,Chiot Malinois 4 mois,275.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4807147_uploaded_image2_1719173692.jpeg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4-mois-4807147
216,Chien Malinois,77963888.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4806294_uploaded_image1_1719106703.jpg,https://sn.coinafrique.com/annonce/chiens/chien-malinois-4806294
217,Bichon Maltais,779638883.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4806292_uploaded_image1_1719106602.jpg,https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4806292
218,Chiot malinois femelle,250000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_4795597_uploaded_image1_1718373916.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-femelle-4795597
219,Chiots Berger Allemand,400000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4764005_uploaded_image1_1716798431.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4764005
220,Chiots Berger XL,250000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_4758802_uploaded_image1_1716485273.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-xl-4758802
221,Chiot Malinois,290.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4755803_uploaded_image1_1716366578.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4755803
222,Chien Husky,300000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4755258_uploaded_image1_1716323395.jpg,https://sn.coinafrique.com/annonce/chiens/chien-husky-4755258
223,Chiots,20000.0,"Gorée, Dakar, Sénégal",https://images.coinafrique.com/thumb_4740260_uploaded_image1_1715562134.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-4740260
224,Chiot Bichon,150000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4739575_uploaded_image1_1715527231.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4739575
225,Rottweiler,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4727689_uploaded_image1_1714948146.jpg,https://sn.coinafrique.com/annonce/chiens/rottweiler-4727689
226,Berger Allemand Femelle,500000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4717577_uploaded_image1_1714468820.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-4717577
227,Chien Berger Allemand,200000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4716925_uploaded_image1_1714422080.jpg,https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4716925
228,Femelle Apbt Brinze,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4711619_uploaded_image1_1714093089.jpg,https://sn.coinafrique.com/annonce/chiens/femelle-apbt-brinze-4711619
229,Chiot Malinois,779638883.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4695228_uploaded_image1_1713282119.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4695228
230,Chiot Bichon Maltais,777621466.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4683644_uploaded_image1_1712667997.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4683644
232,Chiot Ridgback,500000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4680610_uploaded_image1_1712497780.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-ridgback-4680610
233,Malinois mal,250.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4679677_uploaded_image1_1712423347.jpg,https://sn.coinafrique.com/annonce/chiens/malinois-mal-4679677
234,Chien Berger Allemand,310000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4679501_uploaded_image1_1712415418.jpg,https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4679501
235,Chiots Bichons Maltais,100000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4672174_uploaded_image1_1712086423.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-4672174
236,Chiot Berger Allemand,150000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4670652_uploaded_image1_1712025834.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4670652
