id,name,price,address,image_url,product_url
163,Poussins de canards,3000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg,https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canards-4619825
165,Chaton Siamois Hymalayen,240000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4593854_uploaded_image1_1707927839.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-hymalayen-4593854
166,Chaton Persan,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4592914_uploaded_image1_1707885493.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4592914
167,Chaton Scottish Fold,750000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4571582_uploaded_image1_1706729320.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-fold-4571582
168,Perroquet youyou,10000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-youyou-4570755
169,Chaton Persan,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4569529_uploaded_image1_1706630955.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4569529
170,Boeuf,600000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg,https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4568012
171,Cochons d'inde,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4555313_uploaded_image1_1705776199.jpg,https://sn.coinafrique.com/annonce/autres-animaux/cochons-dinde-4555313
172,Chaton Scotish Fold,750000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-scotish-fold-4540889
173,Chaton Persan,400000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4540876
175,Poissons aquarium,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg,https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-4534116
176,Chatons Serval,1500000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4517799_uploaded_image1_1703777941.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chatons-serval-4517799
